"0","Snapdeal rejects $850 mn buyout offer from Flipkart: Reports","Snapdeal's board has rejected a takeover offer of $800-850 million (around ?5,500 crore) from larger e-commerce rival Flipkart, according to multiple reports. Snapdeal's board felt the proposed takeover amount undervalues the company, reports added. While this offer has been rejected, talks are still said to be on between Snapdeal and Flipkart for a possible deal.","Pragya Swastik","0000-00-00","http://indiatoday.intoday.in/story/snapdeal-board-rejects-$850-mn-offer-from-flipkart/1/994240.html","<div class=""news-card-image"" style=""background-image: url('http://images.newsinshorts.com.edgesuite.net/app_assets/images/2017/4jul/inshorts_image_1499181699731_683.jpg?resize=400px:*')"">
</div>","7",NULL,NULL
"1","Marie Curie unknowingly died due to her own discovery","Poland-born scientist Marie Curie, known for her discovery of radium and polonium, died on July 4, 1934, due to continued exposure to radiation. Unaware of ill-effects of radiation, Marie liked to keep radium by her bed as it shone in darkness. Marie and her husband Pierre Curie won the Physics Nobel in 1903 before her solo Chemistry Nobel in 1911.","Pragya Swastik","0000-00-00","https://www.nobelprize.org/nobel_prizes/themes/physics/curie/","<div class=""news-card-image"" style=""background-image: url('http://images.newsinshorts.com.edgesuite.net/app_assets/images/2017/4jul/inshorts_image_1499168463939_296.jpg?resize=400px:*')"">
</div>","1",NULL,NULL
"2","I'd change clothes behind bushes, trees on film set: Sridevi","Actress Sridevi has revealed that she has changed clothes behind bushes, trees and even a bus as earlier there were no vanity vans on film sets. She added, ""I used to avoid drinking water on the sets of the film, as there were no clean washrooms."" Sridevi further said that she would often fall sick while shooting for rain sequences.","Gaurav Shroff","0000-00-00","https://www.pinkvilla.com/entertainment/news/381913/sridevi-her-shooting-experiences-past-we-used-change-clothes-behind-bushes","<div class=""news-card-image"" style=""background-image: url('http://images.newsinshorts.com.edgesuite.net/app_assets/images/2017/4jul/inshorts_image_1499176596527_529.jpg?resize=400px:*')"">
</div>","7",NULL,NULL
"3","Game of Thrones season 7 finale to be show's longest episode","Game of Thrones Season 7 finale will be 82 minutes long and the makers are considering to make every episode in the final season feature length, as per the show's sound designer Paula Fairfield. Until now, the longest episode in the series has been the season 6 finale titled 'The Winds of Winter' at 68 minutes.","Gaurav Shroff","0000-00-00","http://mashable.com/2017/07/03/game-of-thrones-season-8-episode-length-finale/?utm_cid=hp-h-2#OKCnhqAAMZql","<div class=""news-card-image"" style=""background-image: url('http://images.newsinshorts.com.edgesuite.net/app_assets/images/2017/4jul/inshorts_image_1499176813543_658.jpg?resize=400px:*')"">
</div>","1",NULL,NULL
"4","Pink co-writer Shoojit calls for ban on kids' reality shows","Shoojit Sircar, co-writer of 2016 film 'Pink', has tweeted about calling a ban on reality shows on television which involve children. He wrote, ""It's actually destroying them emotionally & their purity."" Reacting to this, a user tweeted about how child artistes should not be cast in films. ","Rini Sinha","0000-00-00","https://twitter.com/ShoojitSircar/status/882070022629318656","<div class=""news-card-image"" style=""background-image: url('http://images.newsinshorts.com.edgesuite.net/app_assets/images/2017/4jul/inshorts_image_1499168613805_274.jpg?resize=400px:*')"">
</div>","6",NULL,NULL
"5","Israeli flower named after PM Narendra Modi ","A new Israeli Chrysanthemum flower has been named 'MODI' as a gesture to mark Prime Minister Narendra Modi's visit to Israel on Tuesday. Modi had visited the Danziger flower farm along with the Israeli Prime Minister Benjamin Netanyahu earlier that day, as part of his three-day visit. Notably, this is the first visit by an Indian Prime Minister to Israel. ","Rini Sinha","0000-00-00","http://www.hindustantimes.com/india-news/a-new-israeli-flower-named-after-pm-narendra-modi/story-IqtbvQkNJivagRzo2LSj6K.html","<div class=""news-card-image"" style=""background-image: url('http://images.newsinshorts.com.edgesuite.net/app_assets/images/2017/4jul/inshorts_image_1499191580269_428.jpg?resize=400px:*')"">
</div>","7",NULL,NULL
"6"," Cigarettes exempted from additional excise duty under GST ","The Revenue Department has announced that cigarettes will be exempted of additional excise duty under the GST regime. This is likely to lower the total taxation on cigarettes by 7-9%, according to analysts. Notably, cigarettes have been put under the highest tax slab of 28% along with an additional 5% cess.","Prashanti Moktan","0000-00-00","http://www.newindianexpress.com/business/2017/jul/04/government-lowers-tax-on-cigarettes-under-gst-1623970.html","<div class=""news-card-image"" style=""background-image: url('http://images.newsinshorts.com.edgesuite.net/app_assets/images/2017/4jul/inshorts_image_1499161007391_210.jpg?resize=400px:*')"">
</div>","8",NULL,NULL
"7","Show price changes after GST via stickers till Sep 30: Govt","The government has allowed the use of stickers with revised rates for pre-packaged items, along with the printed MRP till September 30. The clarification came as several businesses were left with unsold stock as they carried pre-GST rates. However, the printed MRP will have to include the GST rate and no stickers would be allowed after September 30.","Prashanti Moktan","0000-00-00","http://indiatoday.intoday.in/story/reflect-price-revision-post-gst-via-stickers-till-sep-30-govt/1/994039.html","<div class=""news-card-image"" style=""background-image: url('http://images.newsinshorts.com.edgesuite.net/app_assets/images/2017/4jul/inshorts_image_1499177789357_855.jpg?resize=400px:*')"">
</div>","13",NULL,NULL
"8","Lynching people is against principles of Hindutva: Shiv Sena","The Shiv Sena on Tuesday said that lynching people in the name of cow protection is against Hindutva. ""Those who were safeguarding cows were Hindus till yesterday. Today, they have become murderers,"" an editorial in Sena mouthpiece 'Saamana' said. Further, they called for a national policy on beef as it affects the eating habits, businesses, and employment of many people. ","Rini Sinha","0000-00-00","http://www.newindianexpress.com/nation/2017/jul/04/lynching-in-the-name-of-cow-protection-against-hindutva-shiv-sena-1624098.html","<div class=""news-card-image"" style=""background-image: url('http://images.newsinshorts.com.edgesuite.net/app_assets/images/2017/4jul/inshorts_image_1499161372669_247.jpg?resize=400px:*')"">
</div>","6",NULL,NULL
"9","Indian Air Force helicopter goes missing in Arunachal","The Indian Air Force's Advanced Light Helicopter (ALH) went missing in Arunachal Pradesh's Papum Pare district on Tuesday. According to Defence Ministry officials, the helicopter had three people on board. This comes after an IAF Sukhoi fighter jet went missing with two crew members on board in May, and its wreckage was found days later.","Rini Sinha","0000-00-00","https://twitter.com/ANI_news/status/882240599889387520","<div class=""news-card-image"" style=""background-image: url('http://images.newsinshorts.com.edgesuite.net/app_assets/images/2017/4jul/inshorts_image_1499178928835_816.jpg?resize=400px:*')"">
</div>","1",NULL,NULL
