0,Wonder Woman becomes top grossing film by female director,"Wonder Woman, directed by Patty Jenkins, has broken the record for the world's highest-grossing film by a female director with earnings of $671.1 million (over ₹4,300 crore). The record was previously held by Jennifer Yuh Nelson for Kung Fu Panda 2, which earned $665 million. Jenkins also holds the record for the biggest US weekend opening by a female director.",Prashanti Moktan,"29 Jun 2017,Thursday",https://www.forbes.com/sites/scottmendelson/2017/06/29/box-office-patty-jenkins-wonder-woman-is-the-biggest-hit-ever-from-a-female-director/#98d66ff108b5,"<div class=""news-card-image"" style=""background-image: url('http://images.newsinshorts.com.edgesuite.net/app_assets/images/2017/27jun/inshorts_image_1498590130810_577.jpg?resize=400px:*')"">
</div>"
1,"First look poster of Sidharth, Manoj's 'Aiyaary' unveiled","The first look poster of the Sidharth Malhotra and Manoj Bajpayee starrer 'Aiyaary' has been unveiled. Manoj retweeted the poster which was captioned, ""#Aiyaary is also a tale of friendship at the heart of it. Brace yourselves!"" The film, which is reportedly a crime thriller, is scheduled to release on January 26, 2018.",Prashanti Moktan,29 Jun,https://twitter.com/aiyaary/status/880311222544945154,"<div class=""news-card-image"" style=""background-image: url('http://images.newsinshorts.com.edgesuite.net/app_assets/images/2017/29jun/inshorts_image_1498746877924_918.jpg?resize=400px:*')"">
</div>"
2,"Hindi version trailer of Om Puri, Huma's PARTITION: 1947 out","The trailer of PARTITION: 1947, the Hindi version of Gurinder Chadha's film starring Huma Qureshi, Manish Dayal and late actor Om Puri, has been released. The British-Indian film's English version is titled Viceroy's House and marks Huma's debut in Hollywood. Directed by Gurinder Chadha, both versions of the film will release on August 18. ",Rini Sinha,"29 Jun 2017,Thursday",https://www.youtube.com/watch?v=YGb2W3USPBU,"<div class=""news-card-image"" style=""background-image: url('http://images.newsinshorts.com.edgesuite.net/app_assets/images/2017/29jun/inshorts_image_1498754586455_490.jpg?resize=400px:*')"">
</div>"
3,Burnol moment for bhai fans: User on Tubelight as SRK's film,"Following reports of Salman Khan's Tubelight being promoted as a Shah Rukh Khan film in Belgium theatres, a user tweeted, ""Burnol moment for bhai fans!"" Another tweet read, "" #Tubelight is being screened in Belgium with lead actor name as SHAH RUKH KHAN."" A user wrote, ""So Tubelight is a SRK film in Belgium having Salman Khan in a cameo.""",Rini Sinha,29 Jun,https://repository.inshorts.com/full-page/inshorts/8c4ceb62-d1ed-42d3-9b4e-9126c83e9121?type=DETAILED_NEWS,"<div class=""news-card-image"" style=""background-image: url('http://images.newsinshorts.com.edgesuite.net/app_assets/images/2017/29jun/inshorts_image_1498758856387_834.jpg?resize=400px:*')"">
</div>"
4,Trailer of Jumanji: Welcome to the Jungle released,"The trailer of Jumanji: Welcome to the Jungle, a sequel to the 1995 film Jumanji, has been released. Starring Dwayne Johnson, Kevin Hart, Jack Black, Karen Gillan and Nick Jonas, the film revolves around a vintage video game version of Jumanji. Directed by Jake Kasdan, the film is scheduled for a Christmas release this year.",Prashanti Moktan,"29 Jun 2017,Thursday",https://www.youtube.com/watch?v=2QKg5SZ_35I,"<div class=""news-card-image"" style=""background-image: url('http://images.newsinshorts.com.edgesuite.net/app_assets/images/2017/29jun/inshorts_image_1498757181962_752.jpg?resize=400px:*')"">
</div>"
5,"Kill anyone carrying guns, even civilians: Philippine Prez","Philippine President Rodrigo Duterte has asked the country's troops fighting ISIS-linked militants who took over the city of Marawi last month to not hesitate and kill anyone carrying a gun, even if they were civilians. Duterte has also assured the troops that he would protect them from any legal action if they accidentally killed civilians while battling the militants.",Prashanti Moktan,29 Jun,https://www.theguardian.com/world/2017/jun/28/philippines-duterte-tells-troops-fighting-isis-militants-not-to-worry-about-civilian-deaths,"<div class=""news-card-image"" style=""background-image: url('http://images.newsinshorts.com.edgesuite.net/app_assets/images/2017/29jun/inshorts_image_1498732406339_800.jpg?resize=400px:*')"">
</div>"
6,Malaysian Ringgit becomes the strongest Asian currency,"The Malaysian Ringgit became the strongest Asian currency this quarter by climbing twice as much as the Chinese Yuan, according to Bloomberg. The country's exports also rose, due to which the economy grew 5.6% this quarter, most since early 2015. Notably, overseas investors purchased $2.48 billion of Malaysian equities marking the biggest stock inflow in Southeast Asia this year.",Prashanti Moktan,"29 Jun 2017,Thursday",https://www.bloomberg.com/news/articles/2017-06-28/malaysia-shrugs-off-1mdb-scandal-to-become-second-quarter-star,"<div class=""news-card-image"" style=""background-image: url('http://images.newsinshorts.com.edgesuite.net/app_assets/images/2017/29jun/inshorts_image_1498725888656_754.jpg?resize=400px:*')"">
</div>"
7,Global mobile app market worth $1.3 trillion in 2016: Study,"The global mobile app economy was worth $1.3 trillion last year and is expected to reach $6.3 trillion by 2021, study by analyst firm App Annie suggests. According to the report, consumer spending across all mobile app stores will reach $139 billion over the next four years. Notably, Apple's App Store will remain the largest contributor regarding app store purchases. ",Prashanti Moktan,29 Jun,https://www.rt.com/business/394346-global-app-market-growth/,"<div class=""news-card-image"" style=""background-image: url('http://images.newsinshorts.com.edgesuite.net/app_assets/images/2017/29jun/inshorts_image_1498738045846_635.jpg?resize=400px:*')"">
</div>"
8,Sanjay Gandhi's 'daughter' sends notice against Indu Sarkar,"A woman named Priya Singh Paul, claiming to be the daughter of late Congress politician Sanjay Gandhi, has sent a legal notice against the release of the Madhur Bhandarkar directorial Indu Sarkar before she views the film. Censor Board chief Pahlaj Nihalani said, ""Unless the Gandhi parivaar acknowledges her claims, we can't act on Ms Singh's objections to the film.""",Prashanti Moktan,"29 Jun 2017,Thursday",http://www.hindustantimes.com/bollywood/sanjay-gandhi-s-daughter-sends-legal-notice-to-indu-sarkar-director-madhur-bhandarkar/story-Vo3Ke2BLcmXvONdcUEry3K.html,"<div class=""news-card-image"" style=""background-image: url('http://images.newsinshorts.com.edgesuite.net/app_assets/images/2017/29jun/inshorts_image_1498755607774_145.jpg?resize=400px:*')"">
</div>"
9,"End the practice of child marriage, appeals Bihar CM","Bihar Chief Minister Nitish Kumar on Thursday made an appeal to the people of the state to do away with the practice of child marriage. ""Bihar has a problem of stunted growth of children, the main reason for which is child marriage,"" Nitish said. ""A concerted campaign against child marriage and dowry would be launched from October 2,"" he added.",Prashanti Moktan,29 Jun,http://ptinews.com/news/8843137_Nitish-appeals-against-child-marriage.html,"<div class=""news-card-image"" style=""background-image: url('http://images.newsinshorts.com.edgesuite.net/app_assets/images/2017/29jun/inshorts_image_1498756929086_778.jpg?resize=400px:*')"">
</div>"
