"0","Windies defeat India in fourth ODI to keep series alive","Windies defeated India by 11 runs in the fourth ODI on Sunday to keep the five-match series alive at 2-1. Windies' Jason Holder took five wickets as India lost their last five wickets for 19 runs. The last time India failed to chase down a target of less than 200 in a full ODI was also against Windies in 2006.","Anmol Sharma","0000-00-00","https://www.icc-cricket.com/match/6240#scorecard","<div class=""news-card-image"" style=""background-image: url('http://images.newsinshorts.com.edgesuite.net/app_assets/images/2017/2jul/inshorts_image_1499029942563_642.jpg?resize=400px:*')"">
</div>","6",NULL,NULL
"1","70-year-old man wins three-year battle for ?40","A 70-year-old man recently won a three-year battle at the Consumer Disputes Commission in Delhi to get a refund of ?40, imposed on him as penalty in 2014. Lekh Raj was wrongly fined for not paying the maintenance for a house he was allotted by a state body in Himachal Pradesh. Authorities were also ordered to pay ?5000 as compensation.","Anmol Sharma","0000-00-00","http://www.newindianexpress.com/thesundaystandard/2017/jul/01/himachal-elder-wins-3-year-battle-in-delhi-for-rs-40-1623022.html","<div class=""news-card-image"" style=""background-image: url('http://images.newsinshorts.com.edgesuite.net/app_assets/images/2017/2jul/inshorts_image_1498997724556_589.jpg?resize=400px:*')"">
</div>","7",NULL,NULL
"2","OnePlus 5 owners complain of 'jelly' effect while scrolling","Some users of OnePlus' latest smartphone OnePlus 5 have taken to the company's online forum to complain about a wobbling jelly-like effect on the screen while scrolling. Users said that scrolling slowly makes the text bunch up together or stretch out, creating a jelly effect. OnePlus acknowledged that it had received similar complaints but claimed the effect was ""natural"".","Ayushi Ahluwalia","0000-00-00","https://www.youtube.com/watch?v=Y2X50k9Bj9Y","<div class=""news-card-image"" style=""background-image: url('http://images.newsinshorts.com.edgesuite.net/app_assets/images/2017/30jun/inshorts_image_1498814217836_985.jpg?resize=400px:*')"">
</div>","1",NULL,NULL
"3","GST will lead to higher GDP growth in medium term: Moody’s","Credit rating agency Moody's on Sunday said GST will be positive for India's rating as it will lead to higher GDP growth in the medium term. GST will improve ease of doing business and enhance India's attractiveness as a foreign investment destination, Moody's VP William Foster said. It will support higher government revenue generation through improved tax compliance, he added.","Ayushi Ahluwalia","0000-00-00","http://www.hindustantimes.com/business-news/gst-to-boost-gdp-in-medium-term-positive-for-india-s-rating-moody-s/story-BONnHlefHt74fEE05KB07O.html","<div class=""news-card-image"" style=""background-image: url('http://images.newsinshorts.com.edgesuite.net/app_assets/images/2017/2jul/inshorts_image_1498996985652_107.jpg?resize=400px:*')"">
</div>","7",NULL,NULL
"4","Team India manager reports no incident between Kumble, Kohli","Kapil Malhotra, Indian cricket team's manager during the Champions Trophy, has reported no incident of discord between captain Virat Kohli and former coach Anil Kumble. BCCI had specifically asked Malhotra to report any incident which may have affected the dressing room environment. BCCI has now sought reports from Anil Patel, who was the administrative manager during India's home Test season.","Vani Vivek","0000-00-00","http://www.hindustantimes.com/cricket/manager-s-report-no-adverse-views-on-virat-kohli-anil-kumble-relations/story-Pyoc3AsAipOIRyPfqJVrJN.html","<div class=""news-card-image"" style=""background-image: url('http://images.newsinshorts.com.edgesuite.net/app_assets/images/2017/2jul/inshorts_image_1499016311297_753.jpg?resize=400px:*')"">
</div>","1",NULL,NULL
"5","How will GST affect the sports industry in India?","After the implementation of GST, ticket prices of sporting events in India have become more expensive. While IPL tickets will be taxed at the highest rate of 28%, other events by recognised sports governing bodies like BCCI will be taxed at 18%. Purchasing sports equipment is now more expensive, with sports goods manufacturing being taxed between 12%-28%.","Vani Vivek","0000-00-00","https://www.newsbytesapp.com/timeline/Sports/8429/48227/impact-of-gst-on-indian-sports-industry","<div class=""news-card-image"" style=""background-image: url('http://images.newsinshorts.com.edgesuite.net/app_assets/images/2017/2jul/inshorts_image_1499006616194_678.jpg?resize=400px:*')"">
</div>","3",NULL,NULL
"6","Like a father figure, Pranab Da has guided me: Modi on Prez","Prime Minister Narendra Modi, while launching the book 'President Pranab Mukherjee- A Statesman' dedicated to the outgoing President, said, ""Like a father figure, Pranab Da has guided me."" Modi added, ""It was a very big privilege... that I eased into life in Delhi holding Pranab Da's hand."" Meanwhile, Mukherjee said that despite divergence of views, they acted in close cooperation.","Krishna Veera Vanamali","0000-00-00","http://www.india.com/news/india/president-pranab-mukherjee-is-like-father-figure-to-me-says-pm-narendra-modi-at-rashtrapati-bhawan-2288977/","<div class=""news-card-image"" style=""background-image: url('http://images.newsinshorts.com.edgesuite.net/app_assets/images/2017/2jul/inshorts_image_1499009460255_863.jpg?resize=400px:*')"">
</div>","2",NULL,NULL
"7","Lynching cases higher before NDA regime: Amit Shah","BJP leader Amit Shah on Saturday said that the number of lynching incidents between 2011 and 2013 was higher than in the three years of NDA regime. ""Mohammad Akhlaq died in Uttar Pradesh when Samajwadi Party was in government. Law and order is state subject. It is their responsibility and yet there is a protest against Modi government,"" he added.","Krishna Veera Vanamali","0000-00-00","http://www.hindustantimes.com/india-news/bjp-is-being-unfairly-blamed-for-lynchings-amit-shah/story-5XAOgMioeOIoPPO2wwE3TP.html","<div class=""news-card-image"" style=""background-image: url('http://images.newsinshorts.com.edgesuite.net/app_assets/images/2017/1jul/inshorts_image_1498932494288_174.jpg?resize=400px:*')"">
</div>","5",NULL,NULL
"8","Trump defends his use of social media amid criticism","US President Donald Trump has defended his use of social media in a series of tweets, following criticism over his recent tweets attacking TV hosts Mika Brzezinski and Joe Scarborough. Adding that, ""I won the 2016 election with interviews, speeches and social media,"" Trump tweeted, ""The fake & fraudulent news media is working hard to convince...I shouldn't use social media.""","Saloni Tandon","0000-00-00","http://www.hindustantimes.com/world-news/in-another-tweet-blitz-donald-trump-defends-his-use-of-social-media/story-X4F0UCH3MYugfQXcErQ3xM.html","<div class=""news-card-image"" style=""background-image: url('http://images.newsinshorts.com.edgesuite.net/app_assets/images/2017/2jul/inshorts_image_1498992519279_536.jpg?resize=400px:*')"">
</div>","2",NULL,NULL
"9","I disagree that AI overlord will control humanity: IBM exec","David Kenny, Senior Vice President for IBM's supercomputer Watson, recently discussed the societal implications of artificial intelligence. Kenny said that he disagrees with the 'dystopian' view that robots will cause massive job loss or that an AI 'overlord' will control humanity. ""Real disaster would be abandoning...cognitive technology before its full potential can be realised,"" he added.","Saloni Tandon","0000-00-00","https://www.recode.net/2017/6/27/15875432/ibm-congress-ai-job-loss-overlord","<div class=""news-card-image"" style=""background-image: url('http://images.newsinshorts.com.edgesuite.net/app_assets/images/2017/2jul/inshorts_image_1499005698897_982.jpg?resize=400px:*')"">
</div>","3",NULL,NULL
