0,Government launches the Goods and Services Tax,"The government today launched the Goods and Services Tax regime, effective from July 1, 2017. In the making since 2000 and claimed to be the biggest tax reform since Independence, the GST will be a unified indirect tax structure across the country. The GST Council has come out with a four-rate structure of 5%, 12%, 18% and 28%.",Mansha Mahajan,"01 Jul 2017,Saturday",http://www.hindustantimes.com/india-news/goods-and-services-tax-gst-launch-event-on-june-30-midnight-live-updates/story-SE10ADBWc4lYRzwK3obrPO.html,"<div class=""news-card-image"" style=""background-image: url('http://images.newsinshorts.com.edgesuite.net/app_assets/images/2017/30jun/inshorts_image_1498847791619_549.jpg?resize=400px:*')"">
</div>"
1,India beat Windies by 93 runs to take 2-0 series lead,"India defeated West Indies by 93 runs in the third ODI at North Sound on Friday, to take a 2-0 lead in the five-match series. Spinner Ravichandran Ashwin completed 150 wickets in ODIs, while MS Dhoni overtook Adam Gilchrist to become the second-highest run scorer among wicketkeeper-batsmen in the 50-over format. Notably, this was India's 600th overseas ODI.",Mansha Mahajan,01 Jul,http://www.hindustantimes.com/india-vs-west-indies-2017/india-vs-west-indies-2017-3rd-odi-antigua/story-msazgWH1H7MoSnirlmGqrK.html,"<div class=""news-card-image"" style=""background-image: url('http://images.newsinshorts.com.edgesuite.net/app_assets/images/2017/6jun/30/urq8bkzj-1-1498855749260.jpg?resize=400px:*')"">
</div>"
2,Imtiaz Ali's short film on love story of two dogs released,"'Bruno and Juliet', a short film produced by Imtiaz Ali and directed by Khawar Jamsheed, which revolves around two dogs has been released. ""Bruno and Juliet is a conventional love story of characters that are unconventional lovers for cinema- dogs,"" said Ali. The film depicts the relationship between a St Bernard called Bruno and a white stray dog called Juliet.",Anmol Sharma,"01 Jul 2017,Saturday",https://www.youtube.com/watch?v=bacyPhVb4sc,"<div class=""news-card-image"" style=""background-image: url('http://images.newsinshorts.com.edgesuite.net/app_assets/images/2017/30jun/inshorts_image_1498829021755_213.jpg?resize=400px:*')"">
</div>"
3,West Bengal govt to give rebates on regional cinema tickets,"The West Bengal government has decided to give rebates on tickets of regional cinema, including  Bengali, Nepali and Saotali, under the upcoming Goods and Services Tax (GST). The state Cabinet has decided to give 7% rebate on cinema tickets of ₹100 or less. This will keep the tax rate at par with the existing 2% entertainment tax. ",Anmol Sharma,01 Jul,http://www.zoomtv.com/bollywood-news/latest/article/west-bengal-mamata-government-amit-mitra-goods-and-services-tax-rebates-regional-cinema-tickets/34843?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle,"<div class=""news-card-image"" style=""background-image: url('http://images.newsinshorts.com.edgesuite.net/app_assets/images/2017/30jun/inshorts_image_1498840868828_459.jpg?resize=400px:*')"">
</div>"
4,GST has 18 chapters like Bhagavad Gita: PM Modi at GST event,"Speaking at the midnight GST launch event, PM Modi likened the new tax regime to the Bhagavad Gita, saying that both have eighteen chapters. Modi further stated that GST is not the legacy of one political party but the collective legacy of all political parties and that India will move in a new direction with its implementation. ",Rini Sinha,"30 Jun 2017,Friday",http://www.hindustantimes.com/india-news/goods-and-services-tax-gst-launch-event-on-june-30-midnight-live-updates/story-SE10ADBWc4lYRzwK3obrPO.html,"<div class=""news-card-image"" style=""background-image: url('http://images.newsinshorts.com.edgesuite.net/app_assets/images/2017/30jun/inshorts_image_1498846947481_924.jpg?resize=400px:*')"">
</div>"
5,Hardest thing to understand Income Tax: Modi quotes Einstein,"Speaking at the launch of the Goods and Services Tax (GST) on Friday, Prime Minister Narendra Modi quoted Albert Einstein, saying that ""The hardest thing in the world to understand is the Income Tax"". However, he claimed that the new tax regime is simple, transparent, and will end corruption. He was speaking during the midnight session in Parliament's Central Hall.   ",Rini Sinha,30 Jun,http://www.hindustantimes.com/india-news/goods-and-services-tax-gst-launch-event-on-june-30-midnight-live-updates/story-SE10ADBWc4lYRzwK3obrPO.html,"<div class=""news-card-image"" style=""background-image: url('http://images.newsinshorts.com.edgesuite.net/app_assets/images/2017/30jun/inshorts_image_1498846583851_404.jpg?resize=400px:*')"">
</div>"
6,What is the role of an Attorney General of India?,"India's Attorney General is the first law officer of the government and acts as a top advocate for the Union Government. Someone holding the position needs to give advice to the President and the Centre on legal matters. An Attorney General has the right to speak and attend the proceedings of the Parliament, however, he/she cannot vote in the committee.",Prashanti Moktan,"30 Jun 2017,Friday",http://www.hindustantimes.com/india-news/kk-venugopal-to-be-new-attorney-general-will-take-over-from-mukul-rohatgi/story-fFtHsnYTzePcpobHgDWEuL.html,"<div class=""news-card-image"" style=""background-image: url('http://images.newsinshorts.com.edgesuite.net/app_assets/images/2017/30jun/inshorts_image_1498839994044_638.jpg?resize=400px:*')"">
</div>"
7,"Who is KK Venugopal, the new Attorney General of India?","KK Venugopal, India's new Attorney General, is a senior Supreme Court advocate who hails from Kerala. The 86-year-old started his legal career in Mysore in 1954, before practising at the Madras High Court under his father. He grew up in Mangalore and studied law at Raja Lakhamgouda Law College, Karnataka. He was conferred with the Padma Vibhushan in 2015.",Prashanti Moktan,30 Jun,http://indiatoday.intoday.in/story/kk-venugopal-mukul-rohatgi-attorney-general-harish-salve-ranjit-kumar/1/991051.html,"<div class=""news-card-image"" style=""background-image: url('http://images.newsinshorts.com.edgesuite.net/app_assets/images/2017/30jun/inshorts_image_1498837191104_718.jpg?resize=400px:*')"">
</div>"
8,MS Dhoni becomes India's fourth highest run scorer in ODIs,"MS Dhoni has become India's fourth highest run scorer in ODIs, after reaching the 15-run mark in the second ODI against Windies on Friday. Dhoni overtook former captain Mohammad Azharuddin, who had scored 9,378 ODI runs, to take the fourth spot. Notably, Dhoni had crossed the 9,000-run mark in October 2016, becoming the fastest wicketkeeper-batsman to achieve the feat.",Niharika Prabhakar,"30 Jun 2017,Friday",http://www.hindustantimes.com/india-vs-west-indies-2017/live-india-vs-west-indies-3rd-odi-antigua-live-cricket-score/story-JGJGoaWiXhAvwYhfdI0GML.html,"<div class=""news-card-image"" style=""background-image: url('http://images.newsinshorts.com.edgesuite.net/app_assets/images/2017/30jun/inshorts_image_1498843167729_602.jpg?resize=400px:*')"">
</div>"
9,UAE Crown Prince asked US to bomb Al Jazeera: WikiLeaks,"The Crown Prince of Abu Dhabi Sheikh Mohammed bin Zayed allegedly asked the US to bomb the offices of Qatar-funded broadcaster Al Jazeera prior to the invasion of Afghanistan, documents released by WikiLeaks have revealed. Notably, Al Jazeera's office in Kabul was destroyed by US bombers despite the news network informing the US of its location in the Afghan capital.",Niharika Prabhakar,30 Jun,https://www.rt.com/viral/394583-uae-prince-bomb-al-jazeera/,"<div class=""news-card-image"" style=""background-image: url('http://images.newsinshorts.com.edgesuite.net/app_assets/images/2017/30jun/inshorts_image_1498836801650_478.jpg?resize=400px:*')"">
</div>"
10,China not doing enough on North Korea: US,"The White House has said that China is not doing enough on North Korea which continues to violate international norms by conducting nuclear and missile tests. Earlier this year, US President Donald Trump and Chinese President Xi Jinping had agreed on a joint objective of denuclearisation of the Korean Peninsula during the Chinese leader's visit to the United States.",Ayushi Ahluwalia,"01 Jul 2017,Saturday",http://www.newindianexpress.com/world/2017/jun/30/china-not-doing-enough-on-north-korea-us-1622543.html,"<div class=""news-card-image"" style=""background-image: url('http://images.newsinshorts.com.edgesuite.net/app_assets/images/2017/30jun/inshorts_image_1498844782465_945.jpg?resize=400px:*')"">
</div>"
11,Russia extends Western food embargo until end of 2018,"Russian President Vladimir Putin on Friday signed a decree extending the embargo imposed on food products from the EU and other Western countries until the end of 2018. The move comes days after the European Union formally rolled out fresh economic sanctions against Russia. Earlier, Putin had said that the embargo would end once the sanctions are lifted.",Ayushi Ahluwalia,01 Jul,http://www.reuters.com/article/us-ukraine-crisis-russia-sanctions-idUSKBN19L1P2?feedType=RSS&feedName=worldNews&utm_source=Twitter&utm_medium=Social&utm_campaign=Feed%3A+Reuters%2FworldNews+%28Reuters+World+News%29,"<div class=""news-card-image"" style=""background-image: url('http://images.newsinshorts.com.edgesuite.net/app_assets/images/2017/30jun/inshorts_image_1498828683023_600.jpg?resize=400px:*')"">
</div>"
12,China slams US over planned $1.4 billion arms sale to Taiwan,"China has urged the United States to immediately revoke its ""wrong decision"" to sell Taiwan $1.42 billion worth of arms, claiming it contradicted a ""consensus"" reached between the two countries. ""The sales would send a very wrong message to Taiwan independence forces,"" the Chinese embassy in the US said. Notably, China considers Taiwan its breakaway province.",Chhavi Tyagi,"01 Jul 2017,Saturday",http://in.reuters.com/article/usa-taiwan-arms-china-idINKBN19L0NW,"<div class=""news-card-image"" style=""background-image: url('http://images.newsinshorts.com.edgesuite.net/app_assets/images/2017/30jun/inshorts_image_1498826253753_905.jpg?resize=400px:*')"">
</div>"
13,Ending child marriage could add $4tn to world economy: Study,"A study by the World Bank and the International Center for Research on Women has revealed that ending child marriage could add over $4 trillion to the global economy. It further revealed that eradicating the practice would enable girls to complete education and get better jobs. Notably, around 1.5 crore girls under the age of 18 are married every year.",Chhavi Tyagi,01 Jul,https://www.theguardian.com/global-development/2017/jun/28/child-marriage-cost-4tn-by-2030-researchers-warn-world-bank-icrw,"<div class=""news-card-image"" style=""background-image: url('http://images.newsinshorts.com.edgesuite.net/app_assets/images/2017/30jun/inshorts_image_1498820559515_381.jpg?resize=400px:*')"">
</div>"
14,Proud of leaving Paris climate deal: Trump,"US President Donald Trump defended his decision to pull out of the Paris climate accord and declared he was ""proud"" of the move. ""When I go around, there are so many people that say thank you. You saved the sovereignty of our country,"" Trump added. Notably, the United States is the world's second largest emitter of greenhouse gases after China.",Chhavi Tyagi,"01 Jul 2017,Saturday",http://www.newindianexpress.com/world/2017/jun/30/trump-proud-of-leaving-paris-climate-deal-1622591.html,"<div class=""news-card-image"" style=""background-image: url('http://images.newsinshorts.com.edgesuite.net/app_assets/images/2017/30jun/inshorts_image_1498845313342_150.jpg?resize=400px:*')"">
</div>"
15,Nearly 5 lakh displaced Syrians returned home in 2017: UN,"The UN refugee agency on Friday revealed that nearly 5 lakh Syrians returned to their homes since the beginning of the year, mainly to find family members and check on properties. ""This is a significant trend and a significant number,"" a UN spokesperson said. However, the agency cautioned that conditions were ""not yet in place"" to guarantee their future safety.",Chhavi Tyagi,01 Jul,http://www.reuters.com/article/us-mideast-crisis-syria-un-idUSKBN19L142,"<div class=""news-card-image"" style=""background-image: url('http://images.newsinshorts.com.edgesuite.net/app_assets/images/2017/30jun/inshorts_image_1498822634163_246.jpg?resize=400px:*')"">
</div>"
16,GST launch event insults 1947 midnight session: Congress,"Congress leader Anand Sharma on Friday said that the Parliament's midnight session for the GST launch was an insult to the 1947 midnight session where former PM Jawaharlal Nehru announced the country's independence. ""We cannot compare a tax launch with the country's independence...There have been more important milestones in past but no midnight session was called for them,"" he added. ",Anmol Sharma,"30 Jun 2017,Friday",http://indiatoday.intoday.in/story/gst-goods-and-services-tax-gst-congress-anand-sharma-midnight-conclave/1/990887.html,"<div class=""news-card-image"" style=""background-image: url('http://images.newsinshorts.com.edgesuite.net/app_assets/images/2017/30jun/inshorts_image_1498826260380_686.jpg?resize=400px:*')"">
</div>"
17,Kerala MLA pulls out gun while trying to broker peace,"Kerala MLA PC George pointed a gun at some workers on Thursday while trying to resolve a land dispute between them and some families allegedly trying to encroach on their land. Reportedly, the MLA backed the families and an argument broke out between him and the workers. He allegedly even threatened to pour acid on them.",Anmol Sharma,30 Jun,http://www.thenewsminute.com/article/kerala-mla-pc-george-points-pistol-protesters-he-was-there-broker-peace-64391,"<div class=""news-card-image"" style=""background-image: url('http://images.newsinshorts.com.edgesuite.net/app_assets/images/2017/29jun/inshorts_image_1498755772606_992.jpg?resize=400px:*')"">
</div>"
