0,How many transactions can the GST Network handle?,"The Goods and Services Tax Network (GSTN), the information technology backbone of India's new tax regime, is capable of handling 1.2 lakh transactions every second, amounting to 320 crore transactions in a month. The network can handle 60,000 users at the same time every second, Chairman of GST Network Navin Kumar said. ",Krishna Veera Vanamali,"01 Jul 2017,Saturday",http://www.businesstoday.in/magazine/from-the-mag/gst-goods-and-services-tax-gst-network-gstn-navin-kumar/story/255064.html,"<div class=""news-card-image"" style=""background-image: url('http://images.newsinshorts.com.edgesuite.net/app_assets/images/2017/1jul/inshorts_image_1498920357798_845.jpg?resize=400px:*')"">
</div>"
1,"China releases map claiming Indian, Bhutanese territory","Amid the current stand-off, China has released a map claiming a tri-junction, which is in conflict with India's and Bhutan's territorial claims. The map claims the Indian Army crossed the border at Doka La pass, which India and Bhutan consider Bhutanese territory but is claimed by China. Further, China marks its territory far south of where India and Bhutan do.",Krishna Veera Vanamali,01 Jul,http://indiatoday.intoday.in/story/china-releases-new-map-territorial-claims-stand-off-site/1/991733.html,"<div class=""news-card-image"" style=""background-image: url('http://images.newsinshorts.com.edgesuite.net/app_assets/images/2017/1jul/inshorts_image_1498910050312_419.jpg?resize=400px:*')"">
</div>"
2,Video: Men race in heels for Madrid's Gay Pride festival,"Dozens of men wearing stilettos, kitten heels, and wedges took part in the Spanish capital Madrid's annual high-heel race as part of the city's Gay Pride festival. As a part of the world's largest LGBT pride celebrations, the competition celebrating diversity allows only male participants and requires them to wear heels which are at least 10 cm in height.",Saloni Tandon,"01 Jul 2017,Saturday",https://www.youtube.com/watch?v=zHl1_wpYao8&feature=youtu.be,"<div class=""news-card-image"" style=""background-image: url('http://images.newsinshorts.com.edgesuite.net/app_assets/images/2017/1jul/inshorts_image_1498921758775_899.jpg?resize=400px:*')"">
</div>"
3,Who is Lionel Messi's wife Antonella Roccuzzo?,"Barcelona forward Lionel Messi got married to his childhood sweetheart Antonella Roccuzzo in their hometown Rosario, Argentina, on Friday. Messi and Roccuzzo met aged nine, and according to a friend, Messi ""fell in love forever at first sight"". Roccuzzo moved to Barcelona to live with Messi and this year, opened a luxury shoe shop there along with Luis Suarez's wife.",Saloni Tandon,01 Jul,https://www.thequint.com/football/2017/06/30/lionel-messi-to-marry-girlfriend-antonella-roccuzzo,"<div class=""news-card-image"" style=""background-image: url('http://images.newsinshorts.com.edgesuite.net/app_assets/images/2017/1jul/inshorts_image_1498914917075_700.jpg?resize=400px:*')"">
</div>"
4,OnePlus 5 owners complain of 'jelly' effect while scrolling,"Some users of OnePlus' latest smartphone OnePlus 5 have taken to the company's online forum to complain about a wobbling jelly-like effect on the screen while scrolling. Users said that scrolling slowly makes the text bunch up together or stretch out, creating a jelly effect. OnePlus acknowledged that it had received similar complaints but claimed the effect was ""natural"".",Deepali Aggarwal,"01 Jul 2017,Saturday",https://www.youtube.com/watch?v=Y2X50k9Bj9Y,"<div class=""news-card-image"" style=""background-image: url('http://images.newsinshorts.com.edgesuite.net/app_assets/images/2017/30jun/inshorts_image_1498814217836_985.jpg?resize=400px:*')"">
</div>"
5,"I have a GST joke, but u have to pay 28% for it, tweets user","Twitter users reacted to the GST roll-out with tweets like ""I have a GST joke but you will have to pay 28% for it"". While one user tweeted, ""Breaking: VATican city to be called GSTican city from 1st July onward"", others wrote ""GST: A Billion Dreams #ReplaceMovieNamesWithGST"", and ""GST = Ghanta Samajh-aaya Tax"".",Deepali Aggarwal,01 Jul,https://repository.inshorts.com/full-page/inshorts/b5bf0b96-5a2f-494e-9148-08caf1924f30?type=DETAILED_NEWS,"<div class=""news-card-image"" style=""background-image: url('http://images.newsinshorts.com.edgesuite.net/app_assets/images/2017/1jul/inshorts_image_1498918659156_236.jpg?resize=400px:*')"">
</div>"
6,How much are White House staffers paid under Trump govt?,"US President Donald Trump's administration has revealed salaries of the White House staffers, detailing the earnings of 377 aides who earn between $30,000 and $187,100 a year. Among the highest paid White House staffers are Press Secretary Sean Spicer and Counsellor Kellyanne Conway. Meanwhile, Trump's daughter Ivanka and son-in-law Jared Kushner have forgone their White House salaries.",Saloni Tandon,"01 Jul 2017,Saturday",https://www.whitehouse.gov/sites/whitehouse.gov/files/docs/disclosures/07012017-report-final.pdf,"<div class=""news-card-image"" style=""background-image: url('http://images.newsinshorts.com.edgesuite.net/app_assets/images/2017/1jul/inshorts_image_1498914382819_676.jpg?resize=400px:*')"">
</div>"
7,Indonesian Muslim leader urges boycott of pro-LGBT Starbucks,"A leader of Indonesia's second-largest Muslim organisation, Anwar Abbas, has called for a boycott of Starbucks, saying that the international coffee chain's support for the LGBT community is ""not in line"" with the nation's ideology. ""If Starbucks only does business, then fine. But don't bring ideology here,"" Abbas said. Notably, homosexuality is legal in Indonesia except in the Aceh province. ",Saloni Tandon,01 Jul,http://www.reuters.com/article/us-indonesia-starbucks-lgbt-idUSKBN19M36N?feedType=RSS&feedName=topNews&utm_source=twitter&utm_medium=Social,"<div class=""news-card-image"" style=""background-image: url('http://images.newsinshorts.com.edgesuite.net/app_assets/images/2017/1jul/inshorts_image_1498907714785_208.jpg?resize=400px:*')"">
</div>"
8,It was an honour to dub for Om Puri: Satish Kaushik,"Actor Satish Kaushik, while speaking about his experience of dubbing for late actor Om Puri said, ""It was my sheer honour and privilege to take up this responsibility. Satish has dubbed for Puri in his upcoming film 'Mr Kabaadi'. ""Puri saheb's dialogue delivery is an inspiration for coming generation of actors,"" added Kaushik.

",Vani Vivek,"30 Jun 2017,Friday",http://www.zoomtv.com/bollywood-news/latest/article/satish-kaushik-om-puri-voice-over-seema-kapoor-film-mr-kabaadi/35027?utm_source=inshorts&utm_medium=referral&utm_campaign=fullarticle,"<div class=""news-card-image"" style=""background-image: url('http://images.newsinshorts.com.edgesuite.net/app_assets/images/2017/1jul/inshorts_image_1498921846808_261.jpg?resize=400px:*')"">
</div>"
9,I'll think of him as a yesteryear star: Akshaye on dad Vinod,"Actor Akshaye Khanna, while speaking about his late father Vinod Khanna said, ""He was always my dad... It's only now that I will start looking at him as a yesteryear star who was admired by so many people."" Vinod passed away at the age of 70 in April. He appeared in films including 'Amar Akbar Anthony' and 'The Burning Train'. ",Vani Vivek,30 Jun,https://www.thequint.com/bollywood/2017/06/30/akshaye-khanna-on-father-vinod,"<div class=""news-card-image"" style=""background-image: url('http://images.newsinshorts.com.edgesuite.net/app_assets/images/2017/1jul/inshorts_image_1498920254114_125.jpg?resize=400px:*')"">
</div>"
