"0","6 crore trees planted in 12 hours in Madhya Pradesh ","Nearly 6.63 crore trees were planted in 12 hours on Sunday across 12 districts along the Narmada river in Madhya Pradesh. More than 15 lakh volunteers participated in the environmental campaign organised by the state government. Officials from Guinness World Records were present at the event and are expected to confirm if the state set a new world record.","Ayushi Ahluwalia","0000-00-00","https://www.rt.com/viral/395287-trees-company-indian-plants/","<div class=""news-card-image"" style=""background-image: url('http://images.newsinshorts.com.edgesuite.net/app_assets/images/2017/5jul/inshorts_image_1499255083045_662.jpg?resize=400px:*')"">
</div>","5",NULL,NULL
"1"," India is misleading public on Sikkim standoff: China","China has accused India of ""misleading the public"" for saying that its road building attempt in Sikkim was at India-China-Bhutan trijunction and clarified that the road building took place about 2,000 meters away from the disputed area. This comes as the Indian and Chinese militaries remain in a more than two-week-old standoff over the issue.","Ayushi Ahluwalia","0000-00-00","http://www.hindustantimes.com/india-news/china-says-india-is-misleading-the-public-on-sikkim-standoff/story-B91FKgEkLHuTWvhzIJurSL.html","<div class=""news-card-image"" style=""background-image: url('http://images.newsinshorts.com.edgesuite.net/app_assets/images/2017/5jul/inshorts_image_1499253347875_732.jpg?resize=400px:*')"">
</div>","1",NULL,NULL
"2","Twitter reacts to Yash Raj launching Raj Kapoor’s grandson","Reacting to Yash Raj Films launching Raj Kapoor's grandson Aadar Jain, a Twitter user wrote, ""When you have a big photo of your grandfather in the CV and still get the job."" Another user wrote, ""And then they say #Nepotism does not exist in the Hindi Movie industry."" A tweet read, ""This T-shirt could very well have read 'Nepotism, Bitches.'""","Deepali Aggarwal","0000-00-00","http://www.hindustantimes.com/bollywood/yrf-launches-raj-kapoor-s-grandson-twitter-blames-them-for-promoting-nepotism/story-UUHrNkOklzItR3jugztcaO.html","<div class=""news-card-image"" style=""background-image: url('http://images.newsinshorts.com.edgesuite.net/app_assets/images/2017/5jul/inshorts_image_1499255626066_416.jpg?resize=400px:*')"">
</div>","13",NULL,NULL
"3","China might issue travel alert for citizens visiting India","China on Wednesday said that it might issue a travel alert for its citizens visiting India depending on the security situation following the ongoing border standoff in Sikkim. A Chinese newspaper has also warned the country's companies operating in India to be alert and take steps to avoid being hit by anti-China sentiment.","Deepali Aggarwal","0000-00-00","http://www.hindustantimes.com/india-news/could-issue-travel-alert-for-citizens-visiting-india-says-china-amid-sikkim-row/story-LOTlK58IR7o8E3SnHQq10M.html","<div class=""news-card-image"" style=""background-image: url('http://images.newsinshorts.com.edgesuite.net/app_assets/images/2017/5jul/inshorts_image_1499273006672_655.jpg?resize=400px:*')"">
</div>","2",NULL,NULL
"4","India beat SL to register 4th straight win in ICC Women's WC","India's women's cricket team defeated Sri Lanka by 16 runs to claim its 4th straight win in the ICC Women's World Cup 2017. This was India's 14th win in 2017, setting a new record for most wins in a year for the national women's team. Notably, India have won 20 of their last 21 ODIs, including a 16-match winning streak.","Prashanti Moktan","0000-00-00","http://www.cricketcountry.com/news/india-vs-sri-lanka-icc-womens-world-cup-2017-deepti-sharma-mithali-raj-steer-india-to-16-run-win-622233","<div class=""news-card-image"" style=""background-image: url('http://images.newsinshorts.com.edgesuite.net/app_assets/images/2017/5jul/inshorts_image_1499274708314_605.jpg?resize=400px:*')"">
</div>","3",NULL,NULL
"5","In Pictures: US celebrates its 241st Independence Day","The US on Tuesday celebrated its 241st Independence Day, the day the US secured independence from the British Empire after the American Revolutionary War. The celebrations included local parades, a hot dog eating contest, barbeques and fireworks among other things. The day also honours and recognises US military men and women who help the country remain independent.","Prashanti Moktan","0000-00-00","https://gallery-repo.inshorts.com/gallery/view/5fcf7f51-f775-4d6f-bee8-7a6231bcbb1c","<div class=""news-card-image"" style=""background-image: url('http://images.newsinshorts.com.edgesuite.net/app_assets/images/2017/5jul/inshorts_image_1499250983963_816.jpg?resize=400px:*')"">
</div>","5",NULL,NULL
"6","Marriage made in heaven: Israel PM on India-Israel relations","Israel PM Benjamin Netanyahu described India-Israel relations as a ""marriage made in heaven being implemented on Earth"" as the two nations signed seven pacts during PM Narendra Modi's visit. The MoUs signed between India and Israel include a Technology Innovation Fund worth $40 million for research in industrial development, besides pacts on water conservation and reuse of water for agriculture.","Vani Vivek","0000-00-00","http://www.hindustantimes.com/india-news/modi-in-israel-live-pm-meets-counterpart-benjamin-netanyahu/story-RB7ztNVQM9K2Rf8YFumFUL.html","<div class=""news-card-image"" style=""background-image: url('http://images.newsinshorts.com.edgesuite.net/app_assets/images/2017/5jul/inshorts_image_1499271510279_991.jpg?resize=400px:*')"">
</div>","2",NULL,NULL
"7","Doctors use Snapchat to send each other patient scans: Panel","A panel of health and tech experts has published its first annual report for Google's DeepMind Health division, in which it found that doctors in Britain are using Snapchat to send patient scans to each other. Claiming that the ""digital revolution has largely bypassed"" UK's National Health Service, the panel said that clinicians find the photo-sharing Snapchat app ""convenient"".","Vani Vivek","0000-00-00","https://www.theguardian.com/technology/2017/jul/05/doctors-using-snapchat-to-send-patient-scans-to-each-other-panel-finds","<div class=""news-card-image"" style=""background-image: url('http://images.newsinshorts.com.edgesuite.net/app_assets/images/2017/5jul/inshorts_image_1499252394838_256.jpg?resize=400px:*')"">
</div>","7",NULL,NULL
"8","Company makes panda-shaped solar plant to power 8,000 houses","China-based solar energy firm Panda Green Energy Group has announced that its panda bear-shaped solar plant has been connected to the grid. The plant has an output of 50 megawatts, which is said to be enough to power more than 8,000 US households. Two different types of solar panels give the plant a monochromatic look.","Dishant Sharma","0000-00-00","http://mashable.com/2017/07/05/panda-power/?utm_cid=mash-com-Tw-main-link#X5idSmNAvaq2","<div class=""news-card-image"" style=""background-image: url('http://images.newsinshorts.com.edgesuite.net/app_assets/images/2017/5jul/inshorts_image_1499258864623_661.jpg?resize=400px:*')"">
</div>","9",NULL,NULL
"9","One of world's biggest digital currency exchanges hacked","Hackers have stolen user data and money from Bithumb, one of the world's five biggest Ethereum and Bitcoin digital currency exchanges. Bithumb said the hackers stole a database of over 30,000 users' information from an employee's personal computer. The hackers have reportedly stolen lakhs of rupees worth of cryptocurrency, which Bithumb has promised to reimburse.","Dishant Sharma","0000-00-00","http://fortune.com/2017/07/05/bitcoin-ethereum-bithumb-hack/?utm_campaign=fortunetech&utm_source=twitter.com&utm_medium=social&xid=+soc_socialflow_twitter_FORTUNE-TECH","<div class=""news-card-image"" style=""background-image: url('http://images.newsinshorts.com.edgesuite.net/app_assets/images/2017/5jul/inshorts_image_1499276046403_765.jpg?resize=400px:*')"">
</div>","7",NULL,NULL
"10","Macron aboard nuclear submarine for simulated missile launch","French President Emmanuel Macron on Tuesday took part in a missile launch simulation aboard a nuclear submarine called 'Le Terrible' in the Atlantic to signal the commitment to France's nuclear deterrent. Notably, France which has about 300 operational nuclear warheads, will be the only European Union country with nuclear weapons after Britain's departure from the 28-member bloc in 2019.","Deepali Aggarwal","0000-00-00","https://www.theguardian.com/world/2017/jul/04/french-pm-edouard-philippe-warns-cuts-reduce-debt-volcano-public-spending","<div class=""news-card-image"" style=""background-image: url('http://images.newsinshorts.com.edgesuite.net/app_assets/images/2017/5jul/inshorts_image_1499263014044_264.jpg?resize=400px:*')"">
</div>","3",NULL,NULL
"11","Wales, Scotland to offer free abortions to Irish women","The Welsh and Scottish governments will offer free abortions to women travelling to the countries from Northern Ireland. This comes after the UK government recently announced to fund the procedure following PM Theresa May's deal to form a minority government with the Democratic Unionist Party which backs the tighter abortion restrictions in Northern Ireland.","Deepali Aggarwal","0000-00-00","https://www.theguardian.com/world/2017/jul/04/wales-scotland-offer-free-abortions-northern-irish-women","<div class=""news-card-image"" style=""background-image: url('http://images.newsinshorts.com.edgesuite.net/app_assets/images/2017/5jul/inshorts_image_1499241865259_330.jpg?resize=400px:*')"">
</div>","3",NULL,NULL
"12","Cuba to reopen state-run pay-per-hour 'love motels'","Cuba is reviving a network of state-run 'love motels' in Havana, where couples can rent rooms by the hour as the country's government seeks to ""diversify options for love"". ""We want to revive this service that is in high demand... and without a doubt is very profitable,"" officials said. Notably, Havana boasted dozens of 'love motels' until the 1990s.","Saloni Tandon","0000-00-00","https://www.rt.com/viral/395268-cuban-govt-sex-motels/","<div class=""news-card-image"" style=""background-image: url('http://images.newsinshorts.com.edgesuite.net/app_assets/images/2017/5jul/inshorts_image_1499248090417_536.jpg?resize=400px:*')"">
</div>","3",NULL,NULL
"13","Essar Steel challenges RBI's insolvency move in Gujarat HC","Essar Steel has filed a petition in the Gujarat High Court, challenging the insolvency proceedings initiated against it based on RBI's directions. Essar Steel said the company cleared a debt of ?3,467 crore in 2016-17 and employs around 4,500 people. The company said it was trying to restructure a solution approved by its board and slammed RBI's decision as arbitrary.","Saloni Tandon","0000-00-00","http://www.livemint.com/Companies/7IeXUbzHQgmKOGQcCLVRSM/Essar-Steel-challenges-RBIs-insolvency-move-in-Gujarat-high.html","<div class=""news-card-image"" style=""background-image: url('http://images.newsinshorts.com.edgesuite.net/app_assets/images/2017/5jul/inshorts_image_1499245121917_693.jpg?resize=400px:*')"">
</div>","2",NULL,NULL
"14","Shah Rukh has gifted Salman Khan a luxury car: Reports","According to reports, Shah Rukh Khan has gifted Salman Khan a luxury car to thank him for his guest appearance in Aanand L Rai's upcoming film. A source said, ""Salman was shocked...but because he had managed his dates...on such a short notice, SRK wanted to gift him something."" Salman is reportedly doing a dance sequence in the film. ","Vani Vivek","0000-00-00","http://indiatoday.intoday.in/story/salman-khan-shah-rukh-khan-luxurious-car-friendship-goals-aanand-l-rai/1/994525.html","<div class=""news-card-image"" style=""background-image: url('http://images.newsinshorts.com.edgesuite.net/app_assets/images/2017/5jul/inshorts_image_1499254154634_327.jpg?resize=400px:*')"">
</div>","1",NULL,NULL
